Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
5/10/2025,Ath-pr,0,0,Atl,Goiania - GO,Empate,1,43
30/09/2025,Goi,0,0,Atl,Goiania - GO,Empate,1,42
25/09/2025,Atl,1,0,Ame,Goiania - GO,Vitoria,3,41
20/09/2025,Rem,0,1,Atl,Belem - PA,Vitoria,3,38
16/09/2025,Atl,2,1,Ava,Goiania - GO,Vitoria,3,35
8/9/2025,Gre,1,1,Atl,Novo Horizonte - SP,Empate,1,32
31/08/2025,Atl,2,0,Ama,Goiania - GO,Vitoria,3,31
24/08/2025,Cui,2,2,Atl,Cuiaba - MT,Empate,1,28
17/08/2025,Atl,1,3,Fer,Goiania - GO,Derrota,0,27
10/8/2025,Atl,2,0,Bot,Goiania - GO,Vitoria,3,27
4/8/2025,Ath-mg,1,1,Atl,Sao Joao del Rei - MG,Empate,1,24
27/07/2025,Atl,0,0,Cha,Goiania - GO,Empate,1,23
22/07/2025,Ope,3,0,Atl,Ponta Grossa - PR,Derrota,0,22
18/07/2025,Atl,0,1,Cri,Goiania - GO,Derrota,0,22
12/7/2025,Pay,2,2,Atl,Belem - PA,Empate,1,22
3/7/2025,Atl,2,1,Crb,Goiania - GO,Vitoria,3,21
28/06/2025,Vil,1,0,Atl,Goiania - GO,Derrota,0,18
22/06/2025,Atl,2,0,Vol,Goiania - GO,Vitoria,3,18
15/06/2025,Atl,0,0,Cor,Goiania - GO,Empate,1,15
8/6/2025,Ath-pr,0,1,Atl,Curitiba - PR,Vitoria,3,14
31/05/2025,Atl,1,2,Goi,Goiania - GO,Derrota,0,11
27/05/2025,Ame,2,1,Atl,Belo Horizonte - MG,Derrota,0,11
18/05/2025,Atl,1,1,Rem,Goiania - GO,Empate,1,11
10/5/2025,Ava,0,0,Atl,Florianopolis - SC,Empate,1,10
4/5/2025,Atl,1,0,Gre,Goiania - GO,Vitoria,3,9
27/04/2025,Ama,1,1,Atl,Manaus - AM,Empate,1,6
22/04/2025,Atl,1,1,Cui,Goiania - GO,Empate,1,5
17/04/2025,Fer,2,0,Atl,Araraquara - SP,Derrota,0,4
13/04/2025,Bot,1,1,Atl,Ribeirao Preto - SP,Empate,1,4
7/4/2025,Atl,4,2,Ath-mg,Goiania - GO,Vitoria,3,3
