Data,Adversario,Resultado,Placar,Local,Competicao
30/09/2025,Juventude,Empate,0 x 0,Casa,Brasileirao
27/09/2025,Mirassol,Vitoria,1 x 0,Casa,Brasileirao
20/09/2025,Botafogo,Derrota,1 x 0,Fora,Brasileirao
14/09/2025,Santos,Empate,1 x 1,Casa,Brasileirao
31/08/2025,Vitoria,Derrota,1 x 0,Fora,Brasileirao
24/08/2025,Sao Paulo,Derrota,2 x 0,Fora,Brasileirao
17/08/2025,Gremio,Derrota,1 x 3,Casa,Brasileirao
10/08/2025,Vasco,Empate,1 x 1,Fora,Brasileirao
03/08/2025,Red Bull Bragantino,Vitoria,2 x 1,Casa,Brasileirao
27/07/2025,Flamengo,Derrota,1 x 0,Fora,Brasileirao
20/07/2025,Palmeiras,Derrota,3 x 2,Fora,Brasileirao
12/07/2025,Bahia,Derrota,2 x 1,Fora,Brasileirao
12/06/2025,Internacional,Vitoria,2 x 0,Casa,Brasileirao
01/06/2025,Ceara,Vitoria,0 x 1,Fora,Brasileirao
24/05/2025,Corinthians,Empate,0 x 0,Casa,Brasileirao
18/05/2025,Cruzeiro,Empate,0 x 0,Fora,Brasileirao
11/05/2025,Fluminense,Vitoria,3 x 2,Casa,Brasileirao
05/05/2025,Juventude,Vitoria,0 x 1,Fora,Brasileirao
26/04/2025,Mirassol,Empate,2 x 2,Fora,Brasileirao
20/04/2025,Botafogo,Vitoria,1 x 0,Casa,Brasileirao
16/04/2025,Santos,Derrota,2 x 0,Fora,Brasileirao
13/04/2025,Vitoria,Empate,2 x 2,Casa,Brasileirao
06/04/2025,Sao Paulo,Empate,0 x 0,Casa,Brasileirao
29/03/2025,Gremio,Derrota,2 x 1,Fora,Brasileirao
