Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Ava,Pontos_Ganhos,Pontos_Acumulados
03/10/2025,Crb,1,0,Ava,Maceio - AL,Derrota,0,0
29/09/2025,Ava,0,2,Cor,Florianopolis - SC,Derrota,0,0
25/09/2025,Cha,0,1,Ava,Chapeco - SC,Vitoria,3,3
20/09/2025,Ava,2,2,Fer,Florianopolis - SC,Empate,1,4
16/09/2025,Atl,2,1,Ava,Goiania - GO,Derrota,0,4
07/09/2025,Ava,2,1,Goi,Florianopolis - SC,Vitoria,3,7
02/09/2025,Ame,2,0,Ava,Belo Horizonte - MG,Empate,0,7
25/08/2025,Ava,1,2,Ama,Florianopolis - SC,Empate,0,7
19/08/2025,Ope,0,0,Ava,Ponta Grossa - PR,Empate,1,8
10/08/2025,Ava,2,0,Cui,Florianopolis - SC,Vitoria,3,11
03/08/2025,Gre,1,1,Ava,Novo Horizonte - SP,Empate,1,12
28/07/2025,Ava,5,0,Bot,Florianopolis - SC,Vitoria,3,15
24/07/2025,Rem,2,1,Ava,Belem - PA,Empate,0,15
19/07/2025,Ava,1,1,Vil,Florianopolis - SC,Empate,1,16
14/07/2025,Ath,4,0,Ava,Sao Joao del Rei - MG,Empate,0,16
05/07/2025,Ava,0,0,Pay,Florianopolis - SC,Empate,1,17
27/06/2025,Cri,1,2,Ava,Criciuma - SC,Vitoria,3,20
21/06/2025,Ava,1,2,Ath,Florianopolis - SC,Empate,0,20
17/06/2025,Vol,1,1,Ava,Volta Redonda - RJ,Empate,1,21
07/06/2025,Ava,1,0,Crb,Florianopolis - SC,Vitoria,3,24
31/05/2025,Cor,2,1,Ava,Curitiba - PR,Empate,0,24
24/05/2025,Ava,2,1,Cha,Florianopolis - SC,Vitoria,3,27
15/05/2025,Fer,1,1,Ava,Araraquara - SP,Empate,1,28
10/05/2025,Ava,0,0,Atl,Florianopolis - SC,Empate,1,29
05/05/2025,Goi,2,1,Ava,Goiania - GO,Empate,0,29
26/04/2025,Ava,3,0,Ame,Florianopolis - SC,Vitoria,3,32
21/04/2025,Ama,0,2,Ava,Manaus - AM,Vitoria,3,35
16/04/2025,Ava,1,0,Ope,Florianopolis - SC,Vitoria,3,38
10/04/2025,Cui,2,2,Ava,Cuiaba - MT,Empate,1,39
06/04/2025,Ava,1,1,Gre,Florianopolis - SC,Empate,1,40
