Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Bot,Pontos_Ganhos,Pontos_Acumulados
03/10/2025,Cor,2,0,Bot,Curitiba - PR,Empate,0,0
28/09/2025,Bot,1,2,Fer,Ribeirao Preto - SP,Empate,0,0
24/09/2025,Crb,3,2,Bot,Maceio - AL,Empate,0,0
18/09/2025,Bot,1,1,Ope,Ribeirao Preto - SP,Empate,1,1
14/09/2025,Ath,2,0,Bot,Sao Joao del Rei - MG,Empate,0,1
06/09/2025,Bot,1,3,Ath,Ribeirao Preto - SP,Empate,0,1
30/08/2025,Goi,2,3,Bot,Goiania - GO,Vitoria,3,4
25/08/2025,Bot,2,0,Vil,Ribeirao Preto - SP,Vitoria,3,7
16/08/2025,Rem,1,1,Bot,Belem - PA,Empate,1,8
10/08/2025,Atl,2,0,Bot,Goiania - GO,Empate,0,8
02/08/2025,Bot,2,1,Ame,Ribeirao Preto - SP,Vitoria,3,11
28/07/2025,Ava,5,0,Bot,Florianopolis - SC,Empate,0,11
24/07/2025,Bot,0,2,Cri,Ribeirao Preto - SP,Empate,0,11
20/07/2025,Ama,3,0,Bot,Manaus - AM,Empate,0,11
14/07/2025,Bot,0,0,Vol,Ribeirao Preto - SP,Empate,1,12
06/07/2025,Bot,0,0,Gre,Ribeirao Preto - SP,Empate,1,13
30/06/2025,Cui,0,1,Bot,Cuiaba - MT,Vitoria,3,16
20/06/2025,Bot,1,0,Cha,Ribeirao Preto - SP,Vitoria,3,19
13/06/2025,Pay,1,0,Bot,Belem - PA,Empate,0,19
05/06/2025,Bot,0,0,Cor,Ribeirao Preto - SP,Empate,1,20
29/05/2025,Fer,1,1,Bot,Araraquara - SP,Empate,1,21
26/05/2025,Bot,2,1,Crb,Ribeirao Preto - SP,Vitoria,3,24
17/05/2025,Ope,3,0,Bot,Curitiba - PR,Empate,0,24
12/05/2025,Bot,0,3,Ath,Ribeirao Preto - SP,Empate,0,24
04/05/2025,Ath,1,4,Bot,Curitiba - PR,Vitoria,3,27
28/04/2025,Bot,0,1,Goi,Ribeirao Preto - SP,Empate,0,27
20/04/2025,Vil,2,0,Bot,Goiania - GO,Empate,0,27
17/04/2025,Bot,2,2,Rem,Ribeirao Preto - SP,Empate,1,28
13/04/2025,Bot,1,1,Atl,Ribeirao Preto - SP,Empate,1,29
05/04/2025,Ame,1,0,Bot,Belo Horizonte - MG,Empate,0,29
