Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Cea,Pontos_Ganhos,Pontos_Acumulados
02/10/2025,Vit,1,0,Cea,Manoel Barradas,Derrota,0,0
29/09/2025,Sao,0,1,Cea,Morumbi,Vitoria,3,3
20/09/2025,Cea,1,1,Bah,Arena Castelao,Empate,1,4
14/09/2025,Vas,2,2,Cea,Sao Januario,Empate,1,2
30/08/2025,Cea,0,1,Juv,Arena Castelao,Derrota,0,2
23/08/2025,Gre,0,0,Cea,Arena do Gremio,Empate,1,3
16/08/2025,Cea,1,0,Red,Arena Castelao,Empate,3,6
10/08/2025,Pal,2,1,Cea,Allianz Parque,Derrota,0,6
03/08/2025,Cea,1,1,Fla,Arena Castelao,Empate,1,7
27/07/2025,Cru,1,2,Cea,Mineirao,Empate,3,10
23/07/2025,Cea,0,2,Mir,Arena Castelao,Derrota,0,10
20/07/2025,Int,1,0,Cea,Beira,Derrota,0,10
16/07/2025,Cea,0,1,Cor,Arena Castelao,Derrota,0,10
13/07/2025,For,0,1,Cea,Arena Castelao,Empate,3,13
01/06/2025,Cea,0,1,Atl,Arena Castelao,Derrota,0,13
04/06/2025,Bot,3,2,Cea,Nilton Santos,Derrota,0,13
17/05/2025,Cea,2,0,Spo,Arena Castelao,Empate,3,16
12/05/2025,San,0,0,Cea,Allianz Parque,Empate,1,17
03/05/2025,Cea,1,0,Vit,Presidente Vargas,Empate,3,20
26/04/2025,Cea,1,1,Sao,Arena Castelao,Empate,1,21
21/04/2025,Bah,1,0,Cea,Arena Fonte Nova,Derrota,0,21
15/04/2025,Cea,2,1,Vas,Arena Castelao,Empate,3,24
12/04/2025,Juv,2,1,Cea,Alfredo Jaconi,Derrota,0,24
05/04/2025,Cea,2,0,Gre,Arena Castelao,Empate,3,27
31/03/2025,Red,2,2,Cea,Nabi Abi Chedid,Empate,1,28
