Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Cha,Pontos_Ganhos,Pontos_Acumulados
29/09/2025,Ama,1,3,Cha,Manaus - AM,Vitória,3,3
25/09/2025,Cha,0,1,Ava,Chapeco - SC,Derrota,0,3
21/09/2025,Cui,1,0,Cha,Cuiaba - MT,Derrota,0,3
16/09/2025,Cha,2,3,Ath,Chapeco - SC,Derrota,0,3
07/09/2025,Cri,2,0,Cha,Criciuma - SC,Derrota,0,3
01/09/2025,Cha,2,2,Vil,Chapeco - SC,Empate,1,4
22/08/2025,Ath,0,4,Cha,Sao Joao del Rei - MG,Vitória,3,7
17/08/2025,Cha,2,0,Pay,Chapeco - SC,Vitória,3,10
08/08/2025,Cor,0,0,Cha,Curitiba - PR,Empate,1,11
03/08/2025,Cha,3,2,Crb,Chapeco - SC,Vitória,3,14
27/07/2025,Atl,0,0,Cha,Goiania - GO,Empate,1,15
23/07/2025,Cha,4,2,Vol,Chapeco - SC,Vitória,3,18
20/07/2025,Ame,0,1,Cha,Belo Horizonte - MG,Vitória,3,21
13/07/2025,Cha,1,1,Rem,Chapeco - SC,Empate,1,22
07/07/2025,Ope,1,2,Cha,Ponta Grossa - PR,Vitória,3,25
29/06/2025,Cha,1,2,Goi,Chapeco - SC,Derrota,0,25
20/06/2025,Bot,1,0,Cha,Ribeirao Preto - SP,Derrota,0,25
16/06/2025,Cha,2,1,Fer,Chapeco - SC,Vitória,3,28
06/06/2025,Gre,1,0,Cha,Novo Horizonte - SP,Derrota,0,28
02/06/2025,Cha,4,0,Ama,Chapeco - SC,Vitória,3,31
24/05/2025,Ava,2,1,Cha,Florianopolis - SC,Derrota,0,31
16/05/2025,Cha,2,1,Cui,Chapeco - SC,Vitória,3,34
08/05/2025,Ath,1,1,Cha,Curitiba - PR,Empate,1,35
04/05/2025,Cha,2,1,Cri,Chapeco - SC,Vitória,3,38
25/04/2025,Vil,1,0,Cha,Goiania - GO,Derrota,0,38
20/04/2025,Cha,1,0,Ath,Chapeco - SC,Vitória,3,41
16/04/2025,Pay,0,2,Cha,Belem - PA,Vitória,3,44
12/04/2025,Cha,1,2,Cor,Chapeco - SC,Derrota,0,44
05/04/2025,Crb,1,0,Cha,Maceio - AL,Derrota,0,44
