Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Cor,Pontos_Ganhos,Pontos_Acumulados
03/10/2025,Cor,2,0,Bot,Curitiba - PR,Vitoria,3,3
29/09/2025,Ava,0,2,Cor,Florianopolis - SC,Vitoria,3,6
25/09/2025,Cor,0,2,Cri,Curitiba - PR,Derrota,0,6
21/09/2025,Ame,1,0,Cor,Belo Horizonte - MG,Derrota,0,6
12/09/2025,Cor,0,0,Goi,Curitiba - PR,Empate,1,7
05/09/2025,Cor,4,0,Fer,Curitiba - PR,Vitoria,3,10
29/08/2025,Ope,1,0,Cor,Ponta Grossa - PR,Empate,0,10
23/08/2025,Cor,0,0,Rem,Curitiba - PR,Empate,1,11
14/08/2025,Gre,1,2,Cor,Novo Horizonte - SP,Vitoria,3,14
08/08/2025,Cor,0,0,Cha,Curitiba - PR,Empate,1,15
31/07/2025,Vil,1,2,Cor,Goiania - GO,Vitoria,3,18
27/07/2025,Cor,1,1,Ama,Curitiba - PR,Empate,1,19
22/07/2025,Ath,1,1,Cor,Sao Joao del Rei - MG,Empate,1,20
19/07/2025,Cor,2,5,Pay,Curitiba - PR,Empate,0,20
10/07/2025,Crb,0,1,Cor,Maceio - AL,Vitoria,3,23
04/07/2025,Cor,2,0,Vol,Curitiba - PR,Vitoria,3,26
28/06/2025,Ath,0,1,Cor,Curitiba - PR,Vitoria,3,29
22/06/2025,Cor,2,0,Cui,Curitiba - PR,Vitoria,3,32
15/06/2025,Atl,0,0,Cor,Goiania - GO,Empate,1,33
05/06/2025,Bot,0,0,Cor,Ribeirao Preto - SP,Empate,1,34
31/05/2025,Cor,2,1,Ava,Curitiba - PR,Vitoria,3,37
26/05/2025,Cri,0,1,Cor,Criciuma - SC,Vitoria,3,40
19/05/2025,Cor,1,0,Ame,Curitiba - PR,Vitoria,3,43
10/05/2025,Goi,1,0,Cor,Goiania - GO,Empate,0,43
02/05/2025,Fer,2,1,Cor,Araraquara - SP,Empate,0,43
26/04/2025,Cor,2,0,Ope,Curitiba - PR,Vitoria,3,46
21/04/2025,Rem,1,0,Cor,Belem - PA,Empate,0,46
16/04/2025,Cor,0,0,Gre,Curitiba - PR,Empate,1,47
12/04/2025,Cha,1,2,Cor,Chapeco - SC,Vitoria,3,50
05/04/2025,Cor,1,0,Vil,Curitiba - PR,Vitoria,3,53
