Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
7/10/2025,Goi,1,2,crb,Goiania - GO,Vitoria,3,46
3/10/2025,crb,1,0,Ava,Belem - PA,Vitoria,3,43
28/09/2025,Rem,4,2,Crb,Belem - PA,Derrota,0,40
24/09/2025,Crb,3,2,Bot,Maceio - AL,Vitoria,3,40
21/09/2025,Cri,1,0,Crb,Criciuma - SC,Derrota,0,37
15/09/2025,Crb,2,0,Ama,Maceio - AL,Vitoria,3,37
8/9/2025,Cui,1,0,Crb,Cuiaba - MT,Derrota,0,34
30/08/2025,Crb,2,0,Pay,Maceio - AL,Vitoria,3,34
23/08/2025,Crb,0,1,Ath-pr,Maceio - AL,Derrota,0,31
18/08/2025,Vol,0,1,Crb,Volta Redonda - RJ,Vitoria,3,31
12/8/2025,Crb,1,0,Ath-mg,Maceio - AL,Vitoria,3,28
3/8/2025,Cha,3,2,Crb,Chapeco - SC,Derrota,0,25
26/07/2025,Crb,4,0,Gre,Maceio - AL,Vitoria,3,25
22/07/2025,Vil,2,0,Crb,Goiania - GO,Derrota,0,22
17/07/2025,Ope,1,1,Crb,Ponta Grossa - PR,Empate,1,22
10/7/2025,Crb,0,1,Cor,Maceio - AL,Derrota,0,21
3/7/2025,Atl,2,1,Crb,Goiania - GO,Derrota,0,21
26/06/2025,Crb,1,2,Ame,Maceio - AL,Derrota,0,21
21/06/2025,Fer,1,0,Crb,Novo Horizonte - SP,Derrota,0,21
14/06/2025,Crb,2,0,Goi,Maceio - AL,Vitoria,3,21
7/6/2025,Ava,1,0,Crb,Florianopolis - SC,Derrota,0,18
1/6/2025,Crb,2,0,Rem,Maceio - AL,Vitoria,3,18
26/05/2025,Bot,2,1,Crb,Ribeirao Preto - SP,Derrota,0,15
18/05/2025,Crb,1,0,Cri,Maceio - AL,Vitoria,3,15
12/5/2025,Ama,1,1,Crb,Manaus - AM,Empate,1,12
6/5/2025,Crb,1,1,Cui,Maceio - AL,Empate,1,11
27/04/2025,Pay,1,1,Crb,Belem - PA,Empate,1,10
20/04/2025,Ath-pr,2,0,Crb,Curitiba - PR,Derrota,0,9
17/04/2025,Crb,1,0,Vol,Maceio - AL,Vitoria,3,9
13/04/2025,Ath-mg,1,2,Crb,Belo Horizonte - MG,Vitoria,3,6
5/4/2025,Crb,1,0,Cha,Maceio - AL,Vitoria,3,3
