Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Cri,Pontos_Ganhos,Pontos_Acumulados
02/10/2025,Vil,1,1,Cri,Goiania - GO,Empate,1,1
28/09/2025,Cri,2,4,Pay,Criciuma - SC,Derrota,0,1
25/09/2025,Cor,0,2,Cri,Curitiba - PR,Vitoria,3,4
21/09/2025,Cri,1,0,Crb,Criciuma - SC,Vitoria,3,7
12/09/2025,Vol,0,0,Cri,Volta Redonda - RJ,Empate,1,8
07/09/2025,Cri,2,0,Cha,Criciuma - SC,Vitoria,3,11
28/08/2025,Rem,0,1,Cri,Belem - PA,Vitoria,3,14
22/08/2025,Cri,2,0,Gre,Criciuma - SC,Vitoria,3,17
18/08/2025,Ath,1,1,Cri,Sao Joao del Rei - MG,Empate,1,18
11/08/2025,Cri,4,2,Ath,Criciuma - SC,Vitoria,3,21
01/08/2025,Ope,1,0,Cri,Ponta Grossa - PR,Empate,0,21
29/07/2025,Cri,1,0,Cui,Criciuma - SC,Vitoria,3,24
24/07/2025,Bot,0,2,Cri,Ribeirao Preto - SP,Vitoria,3,27
18/07/2025,Atl,0,1,Cri,Goiania - GO,Vitoria,3,30
13/07/2025,Cri,2,1,Fer,Criciuma - SC,Vitoria,3,33
08/07/2025,Goi,1,1,Cri,Goiania - GO,Empate,1,34
27/06/2025,Cri,1,2,Ava,Criciuma - SC,Empate,0,34
20/06/2025,Ame,1,1,Cri,Belo Horizonte - MG,Empate,1,35
15/06/2025,Cri,3,2,Ama,Criciuma - SC,Vitoria,3,38
09/06/2025,Cri,1,0,Vil,Criciuma - SC,Vitoria,3,41
02/06/2025,Pay,0,1,Cri,Belem - PA,Vitoria,3,44
26/05/2025,Cri,0,1,Cor,Criciuma - SC,Empate,0,44
18/05/2025,Crb,1,0,Cri,Maceio - AL,Empate,0,44
11/05/2025,Cri,0,0,Vol,Criciuma - SC,Empate,1,45
04/05/2025,Cha,2,1,Cri,Chapeco - SC,Empate,0,45
25/04/2025,Cri,1,1,Rem,Criciuma - SC,Empate,1,46
21/04/2025,Gre,1,1,Cri,Novo Horizonte - SP,Empate,1,47
17/04/2025,Cri,4,0,Ath,Criciuma - SC,Vitoria,3,50
10/04/2025,Ath,2,1,Cri,Curitiba - PR,Empate,0,50
04/04/2025,Cri,1,2,Ope,Criciuma - SC,Empate,0,50
