Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Cru,Pontos_Ganhos,Pontos_Acumulados
27/09/2025,Vas,2,0,Cru,São Januário,D,0,0
21/09/2025,Cru,2,1,Red,Mineirão,V,3,3
15/09/2025,Bah,1,2,Cru,Arena Fonte Nova,V,3,6
30/08/2025,Cru,1,0,São,Mineirão,V,3,9
23/08/2025,Cru,2,1,Int,Mineirão,V,3,12
18/08/2025,Mir,1,1,Cru,José Maria de Campos Maia,E,1,13
10/08/2025,Cru,1,2,San,Mineirão,D,0,13
03/08/2025,Bot,0,2,Cru,Nilton Santos,V,3,16
27/07/2025,Cru,1,2,Cea,Mineirão,D,0,16
23/07/2025,Cor,0,0,Cru,Neo Química Arena,E,1,17
20/07/2025,Cru,4,0,Juv,Mineirão,V,3,20
17/07/2025,Flu,0,2,Cru,Maracanã,V,3,23
13/07/2025,Cru,4,1,Grê,Mineirão,V,3,26
12/06/2025,Vit,0,0,Cru,Manoel Barradas,E,1,27
01/06/2025,Cru,2,1,Pal,Mineirão,V,3,30
25/05/2025,For,0,2,Cru,Arena Castelão,V,3,33
18/05/2025,Cru,0,0,Atl,Mineirão,E,1,34
11/05/2025,Spo,0,4,Cru,Ilha do Retiro,V,3,37
04/05/2025,Cru,2,1,Fla,Mineirão,V,3,40
27/04/2025,Cru,1,0,Vas,Parque do Sabiá,V,3,43
20/04/2025,Red,1,0,Cru,Nabi Abi Chedid,D,0,43
17/04/2025,Cru,3,0,Bah,Mineirão,V,3,46
13/04/2025,São,1,1,Cru,Morumbi,E,1,47
06/04/2025,Int,3,0,Cru,Beira,D,0,47
29/03/2025,Cru,2,1,Mir,Mineirão,V,3,50
