Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
19/10/2025,Bot,2,2,Cui,Ribeirao Preto - SP,Empate,1,50
12/10/2025,Cui,1,0,Cor,Cuiaba - MT,Vitoria,3,49
8/10/2025,Cui,0,1,Nov,Cuiaba - MT,Derrota,0,46
2/10/2025,Pay,1,1,Cui,Belem - PA,Empate,1,46
28/09/2025,Cui,2,1,Ath-mg,Cuiaba - MT,Vitoria,3,45
24/09/2025,Vil,2,2,Cui,Goiania - GO,Empate,1,42
21/09/2025,Cui,1,0,Cha,Cuiaba - MT,Vitoria,3,41
14/09/2025,Ope,1,1,Cui,Ponta Grossa - PR,Empate,1,38
8/9/2025,Cui,1,0,Crb,Cuiaba - MT,Vitoria,3,37
1/9/2025,Fer,2,2,Cui,Araraquara - SP,Empate,1,34
24/08/2025,Cui,2,2,Atl,Cuiaba - MT,Empate,1,33
16/08/2025,Ath-pr,1,1,Cui,Curitiba - PR,Empate,1,32
10/8/2025,Ava,2,0,Cui,Florianopolis - SC,Derrota,0,31
4/8/2025,Cui,2,0,Vol,Cuiaba - MT,Vitoria,3,31
29/07/2025,Cri,1,0,Cui,Criciuma - SC,Derrota,0,28
23/07/2025,Cui,3,1,Ame,Cuiaba - MT,Vitoria,3,28
19/07/2025,Goi,3,1,Cui,Goiania - GO,Derrota,0,25
15/07/2025,Cui,3,1,Ama,Cuiaba - MT,Vitoria,3,25
5/7/2025,Rem,0,0,Cui,Belem - PA,Empate,1,22
30/06/2025,Cui,0,1,Bot,Cuiaba - MT,Derrota,0,21
22/06/2025,Cor,2,0,Cui,Curitiba - PR,Derrota,0,21
15/06/2025,Gre,3,0,Cui,Novo Horizonte - SP,Derrota,0,21
6/6/2025,Cui,1,0,Pay,Cuiaba - MT,Vitoria,3,21
31/05/2025,Ath-mg,0,2,Cui,Belo Horizonte - MG,Vitoria,3,18
26/05/2025,Cui,1,0,Vil,Cuiaba - MT,Vitoria,3,15
16/05/2025,Cha,2,1,Cui,Chapeco - SC,Derrota,0,12
11/5/2025,Cui,2,3,Ope,Cuiaba - MT,Derrota,0,12
6/5/2025,Crb,1,1,Cui,Maceio - AL,Empate,1,12
27/04/2025,Cui,1,0,Fer,Cuiaba - MT,Vitoria,3,11
22/04/2025,Atl,1,1,Cui,Goiania - GO,Empate,1,8
15/04/2025,Cui,2,1,Ath-pr,Cuiaba - MT,Vitoria,3,7
10/4/2025,Cui,2,2,Ava,Cuiaba - MT,Empate,1,4
6/4/2025,Vol,0,1,Cui,Volta Redonda - RJ,Vitoria,3,3
