Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Fer,Pontos_Ganhos,Pontos_Acumulados
28/09/2025,Bot,1,2,Fer,Ribeirao Preto - SP,Vitoria,3,3
23/09/2025,Fer,1,1,Goi,Araraquara - SP,Empate,1,4
20/09/2025,Ava,2,2,Fer,Florianopolis - SC,Empate,1,5
15/09/2025,Fer,1,2,Gre,Araraquara - SP,Derrota,0,5
05/09/2025,Cor,4,0,Fer,Curitiba - PR,Derrota,0,5
01/09/2025,Fer,2,2,Cui,Araraquara - SP,Empate,1,6
24/08/2025,Fer,0,0,Vol,Araraquara - SP,Empate,1,7
17/08/2025,Atl,1,3,Fer,Goiania - GO,Vitoria,3,10
08/08/2025,Fer,2,1,Ama,Araraquara - SP,Vitoria,3,13
01/08/2025,Rem,0,2,Fer,Belem - PA,Vitoria,3,16
26/07/2025,Fer,0,0,Ope,Araraquara - SP,Empate,1,17
22/07/2025,Ath,1,1,Fer,Curitiba - PR,Empate,1,18
18/07/2025,Fer,1,2,Ath,Araraquara - SP,Empate,0,18
13/07/2025,Cri,2,1,Fer,Criciuma - SC,Empate,0,18
06/07/2025,Fer,1,3,Vil,Araraquara - SP,Empate,0,18
30/06/2025,Pay,2,1,Fer,Belem - PA,Empate,0,18
21/06/2025,Fer,1,0,Crb,Novo Horizonte - SP,Vitoria,3,21
16/06/2025,Cha,2,1,Fer,Chapeco - SC,Empate,0,21
07/06/2025,Ame,1,2,Fer,Belo Horizonte - MG,Vitoria,3,24
29/05/2025,Fer,1,1,Bot,Araraquara - SP,Empate,1,25
23/05/2025,Goi,2,0,Fer,Goiania - GO,Empate,0,25
15/05/2025,Fer,1,1,Ava,Araraquara - SP,Empate,1,26
11/05/2025,Gre,2,2,Fer,Novo Horizonte - SP,Empate,1,27
02/05/2025,Fer,2,1,Cor,Araraquara - SP,Vitoria,3,30
27/04/2025,Cui,1,0,Fer,Cuiaba - MT,Empate,0,30
22/04/2025,Vol,0,0,Fer,Volta Redonda - RJ,Empate,1,31
17/04/2025,Fer,2,0,Atl,Araraquara - SP,Vitoria,3,34
12/04/2025,Ama,0,0,Fer,Manaus - AM,Empate,1,35
06/04/2025,Fer,1,1,Rem,Araraquara - SP,Empate,1,36
