Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Goi,Pontos_Ganhos,Pontos_Acumulados
30/09/2025,Goi,0,0,Atl,Goiania - GO,Empate,1,1
23/09/2025,Fer,1,1,Goi,Araraquara - SP,Empate,1,2
20/09/2025,Goi,1,0,Pay,Goiania - GO,Vitoria,3,5
12/09/2025,Cor,0,0,Goi,Curitiba - PR,Empate,1,6
07/09/2025,Ava,2,1,Goi,Florianopolis - SC,Empate,0,6
30/08/2025,Goi,2,3,Bot,Goiania - GO,Empate,0,6
23/08/2025,Goi,1,0,Ame,Goiania - GO,Vitoria,3,9
16/08/2025,Vil,2,0,Goi,Goiania - GO,Empate,0,9
09/08/2025,Goi,2,1,Ope,Goiania - GO,Vitoria,3,12
02/08/2025,Ama,2,2,Goi,Manaus - AM,Empate,1,13
29/07/2025,Goi,1,1,Rem,Goiania - GO,Empate,1,14
23/07/2025,Gre,1,0,Goi,Novo Horizonte - SP,Empate,0,14
19/07/2025,Goi,3,1,Cui,Goiania - GO,Vitoria,3,17
12/07/2025,Ath,0,1,Goi,Curitiba - PR,Vitoria,3,20
08/07/2025,Goi,1,1,Cri,Goiania - GO,Empate,1,21
29/06/2025,Cha,1,2,Goi,Chapeco - SC,Vitoria,3,24
23/06/2025,Goi,1,2,Ath,Goiania - GO,Empate,0,24
14/06/2025,Crb,2,0,Goi,Maceio - AL,Empate,0,24
08/06/2025,Goi,2,0,Vol,Goiania - GO,Vitoria,3,27
31/05/2025,Atl,1,2,Goi,Goiania - GO,Vitoria,3,30
23/05/2025,Goi,2,0,Fer,Goiania - GO,Vitoria,3,33
18/05/2025,Pay,0,0,Goi,Belem - PA,Empate,1,34
10/05/2025,Goi,1,0,Cor,Goiania - GO,Vitoria,3,37
05/05/2025,Goi,2,1,Ava,Goiania - GO,Vitoria,3,40
28/04/2025,Bot,0,1,Goi,Ribeirao Preto - SP,Vitoria,3,43
20/04/2025,Ame,1,0,Goi,Belo Horizonte - MG,Empate,0,43
17/04/2025,Goi,2,2,Vil,Goiania - GO,Empate,1,44
12/04/2025,Ope,1,2,Goi,Ponta Grossa - PR,Vitoria,3,47
04/04/2025,Goi,1,0,Ama,Goiania - GO,Vitoria,3,50
