Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Grê,Pontos_Ganhos,Pontos_Acumulados
28/09/2025,Grê,3,1,Vit,Arena do Grêmio,V,3,3
21/09/2025,Int,2,3,Grê,Beira,V,3,6
13/09/2025,Grê,0,1,Mir,Arena do Grêmio,D,0,6
31/08/2025,Fla,1,1,Grê,Maracanã,E,1,7
23/08/2025,Grê,0,0,Cea,Arena do Grêmio,E,1,8
17/08/2025,Atl,1,3,Grê,ARENA MRV,V,3,11
10/08/2025,Grê,0,1,Spo,Arena do Grêmio,D,0,11
02/08/2025,Flu,1,0,Grê,Maracanã,D,0,11
26/07/2025,Pal,1,0,Grê,Allianz Parque,D,0,11
24/09/2025,Grê,1,1,Bot,Arena do Grêmio,E,1,12
19/07/2025,Vas,1,1,Grê,São Januário,E,1,13
29/07/2025,Grê,2,1,For,Arena do Grêmio,V,3,16
13/07/2025,Cru,4,1,Grê,Mineirão,D,0,16
12/06/2025,Grê,1,1,Cor,Arena do Grêmio,E,1,17
01/06/2025,Juv,0,2,Grê,Alfredo Jaconi,V,3,20
25/05/2025,Grê,1,0,Bah,Arena do Grêmio,V,3,23
17/05/2025,São,2,1,Grê,Morumbi,D,0,23
10/05/2025,Grê,1,1,Red,Arena do Grêmio,E,1,24
04/05/2025,Grê,1,0,San,Arena do Grêmio,V,3,27
27/04/2025,Vit,1,1,Grê,Manoel Barradas,E,1,28
19/04/2025,Grê,1,1,Int,Arena do Grêmio,E,1,29
16/04/2025,Mir,4,1,Grê,José Maria de Campos Maia,D,0,29
13/04/2025,Grê,0,2,Fla,Arena do Grêmio,D,0,29
05/04/2025,Cea,2,0,Grê,Arena Castelão,D,0,29
29/03/2025,Grê,2,1,Atl,Arena do Grêmio,V,3,32
