data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
4/10/25,Gua,1,1,Nau,Campinas - SP,Empate,1,34
27/09/25,Bru,3,2,Gua,Brusque - SC,Derrota,0,33
21/9/25,Gua,1,0,Bru,Campinas - SP,Vitoria,3,33
13/9/25,Nau,0,2,Gua,Recife - PE,Vitoria,3,30
6/9/25,Gua,0,1,Pon,Campinas - SP,Derrota,0,27
30/8/25,Tom,2,2,Gua,Tombos - MG,Empate,1,27
25/8/25,Gua,1,0,Con,Campinas - SP,Vitoria,3,26
16/8/25,Abc,3,4,Gua,Natal - RN,Vitoria,3,23
9/8/25,Gua,2,1,Ypi,Campinas - SP,Vitoria,3,20
2/8/25,Pon,1,1,Gua,Campinas - SP,Empate,1,17
26/7/25,Gua,0,1,Nau,Campinas - SP,Derrota,0,16
21/7/25,Ana,2,0,Gua,Anapolis - GO,Derrota,0,16
13/7/25,Gua,0,0,Itu,Campinas - SP,Empate,1,16
6/7/25,Lon,1,1,Gua,Londrina - PR,Empate,1,15
28/6/25,Gua,1,0,Csa,Campinas - SP,Vitoria,3,14
15/6/25,Gua,2,1,Ita,Campinas - SP,Vitoria,3,11
31/5/25,Ret,0,2,Gua,S�o Lourenco - PE,Vitoria,3,8
26/5/25,Gua,0,0,Fig,Campinas - SP,Empate,1,5
17/5/25,Flo,0,0,Gua,Horizonte - CE,Empate,1,4
10/5/25,Gua,0,1,Sao,Campinas - SP,Derrota,0,3
4/5/25,Gua,2,1,Bot,Campinas - SP,Vitoria,3,3
28/4/25,Cax,2,0,Gua,Caxias do Sul - RS,Derrota,0,0
20/4/25,Bru,1,0,Gua,Brusque - SC,Derrota,0,0
13/4/25,Gua,2,3,Mar,Campinas - SP,Derrota,0,0
