Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Int,Pontos_Ganhos,Pontos_Acumulados
01/10/2025,Int,1,1,Cor,Rio - Porto Alegre,Empate,1,1
27/09/2025,Juv,1,1,Int,Alfredo Jaconi,E,1,2
21/09/2025,Int,2,3,Grê,Beira,D,0,1
13/09/2025,Pal,4,1,Int,Allianz Parque,D,0,1
31/08/2025,Int,2,1,For,Beira,V,3,4
23/08/2025,Cru,2,1,Int,Mineirão,D,0,4
17/08/2025,Int,1,3,Fla,Beira,D,0,4
09/08/2025,Red,1,3,Int,Cícero de Souza Marques,V,3,7
03/08/2025,Int,1,2,São,Beira,D,0,7
27/07/2025,Int,1,1,Vas,Beira,E,1,8
23/07/2025,San,1,2,Int,Vila Belmiro,V,3,11
20/07/2025,Int,1,0,Cea,Beira,V,3,14
12/07/2025,Int,1,0,Vit,Beira,V,3,17
12/06/2025,Atl,2,0,Int,ARENA MRV,D,0,17
01/06/2025,Int,0,2,Flu,Beira,D,0,17
25/05/2025,Spo,1,1,Int,Ilha do Retiro,E,1,18
18/05/2025,Int,1,1,Mir,Beira,E,1,19
11/05/2025,Bot,4,0,Int,Nilton Santos,D,0,19
03/05/2025,Cor,4,2,Int,Neo Química Arena,D,0,19
26/04/2025,Int,3,1,Juv,Beira,V,3,22
19/04/2025,Grê,1,1,Int,Arena do Grêmio,E,1,23
16/04/2025,Int,0,1,Pal,Beira,D,0,23
13/04/2025,For,0,0,Int,Arena Castelão,E,1,24
06/04/2025,Int,3,0,Cru,Beira,V,3,27
29/03/2025,Fla,1,1,Int,Maracanã,E,1,28
