Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Juv,Pontos_Ganhos,Pontos_Acumulados
27/09/2025,Juv,1,1,Int,Alfredo Jaconi,E,1,1
21/09/2025,Mir,2,0,Juv,José Maria de Campos Maia,D,0,1
14/09/2025,Juv,0,2,Fla,Alfredo Jaconi,D,0,1
30/08/2025,Cea,0,1,Juv,Arena Castelão,V,3,4
24/08/2025,Juv,1,3,Bot,Alfredo Jaconi,D,0,4
16/08/2025,Vit,2,2,Juv,Manoel Barradas,E,1,5
11/08/2025,Juv,2,1,Cor,Alfredo Jaconi,V,3,8
04/08/2025,San,3,1,Juv,Morumbi,D,0,8
27/07/2025,Bah,3,0,Juv,Arena Fonte Nova,D,0,8
24/07/2025,Juv,0,1,São,Alfredo Jaconi,D,0,8
20/07/2025,Cru,4,0,Juv,Mineirão,D,0,8
20/08/2025,Juv,2,0,Vas,Alfredo Jaconi,V,3,11
14/07/2025,Juv,2,0,Spo,Alfredo Jaconi,V,3,14
01/06/2025,Juv,0,2,Grê,Alfredo Jaconi,D,0,14
26/05/2025,Red,1,0,Juv,Cícero de Souza Marques,D,0,14
18/05/2025,Juv,1,1,Flu,Alfredo Jaconi,E,1,15
10/05/2025,For,5,0,Juv,Presidente Vargas,D,0,15
05/05/2025,Juv,0,1,Atl,Alfredo Jaconi,D,0,15
26/04/2025,Int,3,1,Juv,Beira,D,0,15
20/04/2025,Juv,2,2,Mir,Alfredo Jaconi,E,1,16
16/04/2025,Fla,6,0,Juv,Maracanã,D,0,16
12/04/2025,Juv,2,1,Cea,Alfredo Jaconi,V,3,19
05/04/2025,Bot,2,0,Juv,Nilton Santos,D,0,19
29/03/2025,Juv,2,0,Vit,Alfredo Jaconi,V,3,22
