Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Mir,Pontos_Ganhos,Pontos_Acumulados
01/10/2025,Mir,1,1,Red,Mirassol - SP,Empate,1,1
27/09/2025,Atl,1,0,Mir,ARENA MRV,Derrota,0,1
21/09/2025,Mir,2,0,Juv,Jose Maria de Campos Maia,Vitoria,3,3
13/09/2025,Gre,0,1,Mir,Arena do Gremio,Vitoria,3,6
31/08/2025,Mir,5,1,Bah,Jose Maria de Campos Maia,Empate,3,9
24/08/2025,For,0,1,Mir,Arena Castelao,Empate,3,12
18/08/2025,Mir,1,1,Cru,Jose Maria de Campos Maia,Empate,1,13
09/08/2025,Fla,2,1,Mir,Maracana,Derrota,0,13
02/08/2025,Mir,3,2,Vas,Jose Maria de Campos Maia,Empate,3,16
26/07/2025,Mir,1,1,Vit,Jose Maria de Campos Maia,Empate,1,17
23/07/2025,Cea,0,2,Mir,Arena Castelao,Empate,3,20
19/07/2025,Mir,3,0,San,Jose Maria de Campos Maia,Empate,3,23
16/07/2025,Pal,1,1,Mir,Allianz Parque,Empate,1,24
17/09/2025,Bot,3,3,Mir,Nilton Santos,Empate,1,25
01/06/2025,Mir,1,0,Spo,Jose Maria de Campos Maia,Empate,3,28
24/05/2025,Sao,0,2,Mir,Morumbi,Empate,3,31
18/05/2025,Int,1,1,Mir,Beira,Empate,1,32
10/05/2025,Mir,2,1,Cor,Jose Maria de Campos Maia,Empate,3,35
05/05/2025,Red,1,0,Mir,Cicero de Souza Marques,Derrota,0,35
26/04/2025,Mir,2,2,Atl,Jose Maria de Campos Maia,Empate,1,36
20/04/2025,Juv,2,2,Mir,Alfredo Jaconi,Empate,1,37
16/04/2025,Mir,4,1,Gre,Jose Maria de Campos Maia,Empate,3,40
13/04/2025,Bah,1,1,Mir,Arena Fonte Nova,Empate,1,41
06/04/2025,Mir,1,1,For,Jose Maria de Campos Maia,Empate,1,42
29/03/2025,Cru,2,1,Mir,Mineirao,Derrota,0,42
