Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Gre,Pontos_Ganhos,Pontos_Acumulados
28/09/2025,Gre,1,1,Vil,Novo Horizonte - SP,Empate,1,1
23/09/2025,Pay,0,1,Gre,Belem - PA,Vitoria,3,4
19/09/2025,Gre,1,0,Ath,Novo Horizonte - SP,Vitoria,3,7
15/09/2025,Fer,1,2,Gre,Araraquara - SP,Vitoria,3,10
08/09/2025,Gre,1,1,Atl,Novo Horizonte - SP,Empate,1,11
30/08/2025,Ath,2,1,Gre,Curitiba - PR,Empate,0,11
22/08/2025,Cri,2,0,Gre,Criciuma - SC,Empate,0,11
14/08/2025,Gre,1,2,Cor,Novo Horizonte - SP,Empate,0,11
09/08/2025,Vol,0,0,Gre,Volta Redonda - RJ,Empate,1,12
03/08/2025,Gre,1,1,Ava,Novo Horizonte - SP,Empate,1,13
26/07/2025,Crb,4,0,Gre,Maceio - AL,Empate,0,13
23/07/2025,Gre,1,0,Goi,Novo Horizonte - SP,Vitoria,3,16
17/07/2025,Rem,1,1,Gre,Belem - PA,Empate,1,17
12/07/2025,Gre,3,1,Ame,Novo Horizonte - SP,Vitoria,3,20
06/07/2025,Bot,0,0,Gre,Ribeirao Preto - SP,Empate,1,21
29/06/2025,Gre,1,1,Ama,Novo Horizonte - SP,Empate,1,22
23/06/2025,Ope,2,0,Gre,Ponta Grossa - PR,Empate,0,22
15/06/2025,Gre,3,0,Cui,Novo Horizonte - SP,Vitoria,3,25
06/06/2025,Gre,1,0,Cha,Novo Horizonte - SP,Vitoria,3,28
30/05/2025,Vil,0,1,Gre,Goiania - GO,Vitoria,3,31
25/05/2025,Gre,3,1,Pay,Novo Horizonte - SP,Vitoria,3,34
17/05/2025,Ath,0,2,Gre,Belo Horizonte - MG,Vitoria,3,37
11/05/2025,Gre,2,2,Fer,Novo Horizonte - SP,Empate,1,38
04/05/2025,Atl,1,0,Gre,Goiania - GO,Empate,0,38
24/04/2025,Gre,2,1,Ath,Novo Horizonte - SP,Vitoria,3,41
21/04/2025,Gre,1,1,Cri,Novo Horizonte - SP,Empate,1,42
16/04/2025,Cor,0,0,Gre,Curitiba - PR,Empate,1,43
12/04/2025,Gre,1,0,Vol,Novo Horizonte - SP,Vitoria,3,46
