Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Ope,Pontos_Ganhos,Pontos_Acumulados
27/09/2025,Ath,1,0,Ope,Curitiba - PR,Derrota,0,0
24/09/2025,Ope,2,1,Ama,Ponta Grossa - PR,Vitória,3,3
18/09/2025,Bot,1,1,Ope,Ribeirao Preto - SP,Empate,1,4
14/09/2025,Ope,1,1,Cui,Ponta Grossa - PR,Empate,1,5
07/09/2025,Ame,1,1,Ope,Belo Horizonte - MG,Empate,1,6
29/08/2025,Ope,1,0,Cor,Ponta Grossa - PR,Vitória,3,9
24/08/2025,Pay,1,2,Ope,Belem - PA,Vitória,3,12
19/08/2025,Ope,0,0,Ava,Ponta Grossa - PR,Empate,1,13
09/08/2025,Goi,2,1,Ope,Goiania - GO,Derrota,0,13
01/08/2025,Ope,1,0,Cri,Ponta Grossa - PR,Vitória,3,16
26/07/2025,Fer,0,0,Ope,Araraquara - SP,Empate,1,17
22/07/2025,Ope,3,0,Atl,Ponta Grossa - PR,Vitória,3,20
17/07/2025,Ope,1,1,Crb,Ponta Grossa - PR,Empate,1,21
11/07/2025,Vil,0,0,Ope,Goiania - GO,Empate,1,22
07/07/2025,Ope,1,2,Cha,Ponta Grossa - PR,Derrota,0,22
29/06/2025,Vol,1,0,Ope,Volta Redonda - RJ,Derrota,0,22
23/06/2025,Ope,2,0,Gre,Ponta Grossa - PR,Vitória,3,25
14/06/2025,Ath,2,1,Ope,Sao Joao del Rei - MG,Derrota,0,25
08/06/2025,Rem,2,1,Ope,Belem - PA,Derrota,0,25
01/06/2025,Ope,2,2,Ath,Ponta Grossa - PR,Empate,1,26
25/05/2025,Ama,2,0,Ope,Manaus - AM,Derrota,0,26
17/05/2025,Ope,3,0,Bot,Curitiba - PR,Vitória,3,29
11/05/2025,Cui,2,3,Ope,Cuiaba - MT,Vitória,3,32
04/05/2025,Ope,1,0,Ame,Ponta Grossa - PR,Vitória,3,35
26/04/2025,Cor,2,0,Ope,Curitiba - PR,Derrota,0,35
19/04/2025,Ope,0,0,Pay,Ponta Grossa - PR,Empate,1,36
16/04/2025,Ava,1,0,Ope,Florianopolis - SC,Derrota,0,36
12/04/2025,Ope,1,2,Goi,Ponta Grossa - PR,Derrota,0,36
04/04/2025,Cri,1,2,Ope,Criciuma - SC,Vitória,3,39
