Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Pal,Pontos_Ganhos,Pontos_Acumulados
01/10/2025,Pal,3,0,Vas,Sao Paulo - SP,Vitoria,3,3
28/09/2025,Bah,1,0,Pal,Arena Fonte Nova,Derrota,0,3
20/09/2025,Pal,4,1,For,Allianz Parque,Vitoria,3,3
13/09/2025,Pal,4,1,Int,Allianz Parque,Vitoria,3,6
31/08/2025,Cor,1,1,Pal,Neo Quimica Arena,Empate,1,7
25/08/2025,Pal,3,0,Spo,Allianz Parque,Empate,3,10
17/08/2025,Bot,0,1,Pal,Nilton Santos,Empate,3,13
10/08/2025,Pal,2,1,Cea,Allianz Parque,Empate,3,16
03/08/2025,Vit,2,2,Pal,Manoel Barradas,Empate,1,17
26/07/2025,Pal,1,0,Gre,Allianz Parque,Empate,3,20
23/07/2025,Flu,1,2,Pal,Maracana,Empate,3,23
20/07/2025,Pal,3,2,Atl,Allianz Parque,Empate,3,26
16/07/2025,Pal,1,1,Mir,Allianz Parque,Empate,1,27
01/06/2025,Cru,2,1,Pal,Mineirao,Derrota,0,27
25/05/2025,Pal,0,2,Fla,Allianz Parque,Derrota,0,27
18/05/2025,Red,1,2,Pal,Cicero de Souza Marques,Empate,3,30
11/05/2025,Pal,1,0,Sao,Arena Barueri,Empate,3,33
04/05/2025,Vas,0,1,Pal,Mane Garrincha,Empate,3,36
27/04/2025,Pal,0,1,Bah,Allianz Parque,Derrota,0,36
20/04/2025,For,1,2,Pal,Arena Castelao,Empate,3,39
16/04/2025,Int,0,1,Pal,Beira,Empate,3,42
12/04/2025,Pal,2,0,Cor,Arena Barueri,Empate,3,45
06/04/2025,Spo,1,2,Pal,Ilha do Retiro,Empate,3,48
30/03/2025,Pal,0,0,Bot,Allianz Parque,Empate,1,49
