Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Pay,Pontos_Ganhos,Pontos_Acumulados
02/10/2025,Pay,1,1,Cui,Belem - PA,Empate,1,1
28/09/2025,Cri,2,4,Pay,Criciuma - SC,Vitória,3,4
23/09/2025,Pay,0,1,Gre,Belem - PA,Derrota,0,4
20/09/2025,Goi,1,0,Pay,Goiania - GO,Derrota,0,4
13/09/2025,Pay,0,0,Ame,Belem - PA,Empate,1,5
05/09/2025,Pay,1,2,Vol,Belem - PA,Derrota,0,5
30/08/2025,Crb,2,0,Pay,Maceio - AL,Derrota,0,5
24/08/2025,Pay,1,2,Ope,Belem - PA,Derrota,0,5
17/08/2025,Cha,2,0,Pay,Chapeco - SC,Derrota,0,5
11/08/2025,Pay,0,1,Vil,Belem - PA,Derrota,0,5
03/08/2025,Ath,1,1,Pay,Curitiba - PR,Empate,1,6
28/07/2025,Pay,1,1,Ath,Belem - PA,Empate,1,7
23/07/2025,Ama,1,1,Pay,Manaus - AM,Empate,1,8
19/07/2025,Cor,2,5,Pay,Curitiba - PR,Vitória,3,11
12/07/2025,Pay,2,2,Atl,Belem - PA,Empate,1,12
05/07/2025,Ava,0,0,Pay,Florianopolis - SC,Empate,1,13
30/06/2025,Pay,2,1,Fer,Belem - PA,Vitória,3,16
21/06/2025,Rem,0,1,Pay,Belem - PA,Vitória,3,19
13/06/2025,Pay,1,0,Bot,Belem - PA,Vitória,3,22
06/06/2025,Cui,1,0,Pay,Cuiaba - MT,Derrota,0,22
02/06/2025,Pay,0,1,Cri,Belem - PA,Derrota,0,22
25/05/2025,Gre,3,1,Pay,Novo Horizonte - SP,Derrota,0,22
18/05/2025,Pay,0,0,Goi,Belem - PA,Empate,1,23
14/05/2025,Ame,2,2,Pay,Belo Horizonte - MG,Empate,1,24
03/05/2025,Vol,1,0,Pay,Volta Redonda - RJ,Derrota,0,24
27/04/2025,Pay,1,1,Crb,Belem - PA,Empate,1,25
19/04/2025,Ope,0,0,Pay,Ponta Grossa - PR,Empate,1,26
16/04/2025,Pay,0,2,Cha,Belem - PA,Derrota,0,26
12/04/2025,Vil,1,0,Pay,Goiania - GO,Derrota,0,26
04/04/2025,Pay,1,2,Ath,Belem - PA,Derrota,0,26
