Data,Time da Casa,Gols Casa,Gols Visitante,Time Visitante,Local,Resultado,Pontos Ganhos,Acunulados
4/10/2025,Bru,2,1,Pon,Brusque - SC,Derrota,0,46
27/09/2025,Pon,1,1,Nau,Campinas - SP,Empate,1,46
20/09/2025,Nau,0,1,Pon,Recife - PE,Vitória,3,45
14/09/2025,Pon,1,0,Bru,Campinas - SP,Vitória,3,42
6/9/2025,Gua,0,1,Pon,Campinas - SP,Vitória,3,39
30/08/2025,Lon,0,1,Pon,Campinas - SP,Vitória,3,36
25/08/2025,Csa,1,2,Pon,Maceio - AL,Vitória,3,33
16/08/2025,Pon,1,0,Ita,Campinas - SP,Vitória,3,30
9/8/2025,Bot,2,1,Pon,Joao Pessoa - PB,Derrota,0,27
2/8/2025,Pon,1,1,Gua,Campinas - SP,Empate,1,27
27/07/2025,Cax,2,1,Pon,Caxias do Sul - RS,Derrota,0,26
19/07/2025,Pon,2,1,Flo,Campinas - SP,Vitória,3,26
12/7/2025,Sao,2,0,Pon,Sao Bernardo do Campo - SP,Derrota,0,23
7/7/2025,Pon,1,0,Tom,Campinas - SP,Vitória,3,23
28/06/2025,Mar,0,1,Pon,Maringa - PR,Vitória,3,20
14/06/2025,Pon,0,0,Abc,Campinas - SP,Empate,1,17
2/6/2025,Pon,0,1,Ypi,Campinas - SP,Derrota,0,16
24/05/2025,Náu,0,1,Pon,Recife - PE,Vitória,3,16
17/05/2025,Pon,1,4,Bru,Campinas - SP,Derrota,0,13
12/5/2025,Itu,0,1,Pon,Itu - SP,Vitória,3,13
3/5/2025,Pon,2,0,Ana,Campinas - SP,Vitória,3,10
26/04/2025,Con,1,2,Pon,Aracaju - SE,Vitória,3,7
19/04/2025,Pon,1,0,Ret,Campinas - SP,Vitória,3,4
12/4/2025,Fig,1,1,Pon,Florianopolis - SC,Empate,1,1
