Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Red,Pontos_Ganhos,Pontos_Acumulados
28/09/2025,Red,2,2,San,Cícero de Souza Marques,E,1,1
21/09/2025,Cru,2,1,Red,Mineirão,D,0,1
14/09/2025,Red,1,1,Spo,Cícero de Souza Marques,E,1,2
30/08/2025,Bot,4,1,Red,Nilton Santos,D,0,2
23/08/2025,Red,4,2,Flu,Cícero de Souza Marques,V,3,5
16/08/2025,Cea,1,0,Red,Arena Castelão,D,0,5
09/08/2025,Red,1,3,Int,Cícero de Souza Marques,D,0,5
03/08/2025,Atl,2,1,Red,ARENA MRV,D,0,5
26/07/2025,For,3,1,Red,Arena Castelão,D,0,5
23/07/2025,Red,1,2,Fla,Cícero de Souza Marques,D,0,5
20/07/2025,Vit,1,0,Red,Manoel Barradas,D,0,5
16/07/2025,Red,2,2,São,Cícero de Souza Marques,E,1,6
13/07/2025,Cor,1,2,Red,Neo Química Arena,V,3,9
12/06/2025,Red,0,3,Bah,Cícero de Souza Marques,D,0,9
31/05/2025,Vas,0,2,Red,São Januário,V,3,12
26/05/2025,Red,1,0,Juv,Cícero de Souza Marques,V,3,15
18/05/2025,Red,1,2,Pal,Cícero de Souza Marques,D,0,15
10/05/2025,Grê,1,1,Red,Arena do Grêmio,E,1,16
05/05/2025,Red,1,0,Mir,Cícero de Souza Marques,V,3,19
27/04/2025,San,1,2,Red,Vila Belmiro,V,3,22
20/04/2025,Red,1,0,Cru,Nabi Abi Chedid,V,3,25
16/04/2025,Spo,0,1,Red,Ilha do Retiro,V,3,28
12/04/2025,Red,1,0,Bot,Nabi Abi Chedid,V,3,31
06/04/2025,Flu,2,1,Red,Maracanã,D,0,31
31/03/2025,Red,2,2,Cea,Nabi Abi Chedid,E,1,32
