Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_San,Pontos_Ganhos,Pontos_Acumulados
01/10/2025,San,1,1,Grê,Santos - SP,Empate,1,1
28/09/2025,Red,2,2,San,Cícero de Souza Marques,E,1,2
21/09/2025,San,1,0,São,Vila Belmiro,V,3,4
14/09/2025,Atl,1,1,San,ARENA MRV,E,1,5
31/08/2025,San,0,0,Flu,Vila Belmiro,E,1,6
24/08/2025,Bah,2,0,San,Arena Fonte Nova,D,0,6
17/08/2025,San,0,6,Vas,Morumbi,D,0,6
10/08/2025,Cru,1,2,San,Mineirão,V,3,9
04/08/2025,San,3,1,Juv,Morumbi,V,3,12
26/07/2025,Spo,2,2,San,Ilha do Retiro,E,1,13
23/07/2025,San,1,2,Int,Vila Belmiro,D,0,13
19/07/2025,Mir,3,0,San,José Maria de Campos Maia,D,0,13
16/07/2025,San,1,0,Fla,Vila Belmiro,V,3,16
12/06/2025,For,2,3,San,Arena Castelão,V,3,19
01/06/2025,San,0,1,Bot,Vila Belmiro,D,0,19
25/05/2025,Vit,0,1,San,Manoel Barradas,V,3,22
18/05/2025,Cor,1,0,San,Neo Química Arena,D,0,22
12/05/2025,San,0,0,Cea,Allianz Parque,E,1,23
04/05/2025,Grê,1,0,San,Arena do Grêmio,D,0,23
27/04/2025,San,1,2,Red,Vila Belmiro,D,0,23
20/04/2025,São,2,1,San,Morumbi,D,0,23
16/04/2025,San,2,0,Atl,Vila Belmiro,V,3,26
13/04/2025,Flu,1,0,San,Maracanã,D,0,26
06/04/2025,San,2,2,Bah,Vila Belmiro,E,1,27
30/03/2025,Vas,2,1,San,São Januário,D,0,27
