Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Spo,Pontos_Ganhos,Pontos_Acumulados
27/09/2025,For,1,0,Spo,Arena Castelão,D,0,0
21/09/2025,Spo,1,0,Cor,Ilha do Retiro,V,3,3
14/09/2025,Red,1,1,Spo,Cícero de Souza Marques,E,1,4
31/08/2025,Spo,2,3,Vas,Ilha do Retiro,D,0,4
25/08/2025,Pal,3,0,Spo,Allianz Parque,D,0,4
16/08/2025,Spo,2,2,São,Ilha do Retiro,E,1,5
10/08/2025,Grê,0,1,Spo,Arena do Grêmio,V,3,8
02/08/2025,Spo,0,0,Bah,Ilha do Retiro,E,1,9
26/07/2025,Spo,2,2,San,Ilha do Retiro,E,1,10
23/07/2025,Vit,2,2,Spo,Manoel Barradas,E,1,11
20/07/2025,Spo,0,1,Bot,Ilha do Retiro,D,0,11
14/07/2025,Juv,2,0,Spo,Alfredo Jaconi,D,0,11
01/06/2025,Mir,1,0,Spo,José Maria de Campos Maia,D,0,11
25/05/2025,Spo,1,1,Int,Ilha do Retiro,E,1,12
17/05/2025,Cea,2,0,Spo,Arena Castelão,D,0,12
11/05/2025,Spo,0,4,Cru,Ilha do Retiro,D,0,12
03/05/2025,Flu,2,1,Spo,Maracanã,D,0,12
26/04/2025,Spo,0,0,For,Ilha do Retiro,E,1,13
19/04/2025,Cor,2,1,Spo,Neo Química Arena,D,0,13
16/04/2025,Spo,0,1,Red,Ilha do Retiro,D,0,13
12/04/2025,Vas,3,1,Spo,São Januário,D,0,13
06/04/2025,Spo,1,2,Pal,Ilha do Retiro,D,0,13
29/03/2025,São,0,0,Spo,Morumbi,E,1,14
