Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
2/10/2025,Vil,1,1,Cri,Goiania - GO,Empate,1,39
28/09/2025,Gre,1,1,Vil,Novo Horizonte - SP,Empate,1,38
24/09/2025,Vil,2,2,Cui,Goiania - GO,Empate,1,37
21/09/2025,Ath-pr,2,0,Vil,Curitiba - PR,Derrota,0,36
13/09/2025,Vil,1,1,Rem,Goiania - GO,Empate,1,36
8/9/2025,Vil,1,1,Ath-mg,Goiania - GO,Empate,1,35
1/9/2025,Cha,2,2,Vil,Chapeco - SC,Empate,1,34
25/08/2025,Bot,2,0,Vil,Ribeirao Preto - SP,Derrota,0,33
16/08/2025,Vil,2,0,Goi,Goiania - GO,Vitoria,3,33
11/8/2025,Pay,0,1,Vil,Belem - PA,Vitoria,3,30
31/07/2025,Vil,1,2,Cor,Goiania - GO,Derrota,0,27
27/07/2025,Vol,2,1,Vil,Volta Redonda - RJ,Derrota,0,27
22/07/2025,Vil,2,0,Crb,Goiania - GO,Vitoria,3,27
19/07/2025,Ava,1,1,Vil,Florianopolis - SC,Empate,1,24
11/7/2025,Vil,0,0,Ope,Goiania - GO,Empate,1,23
6/7/2025,Fer,1,3,Vil,Araraquara - SP,Vitoria,3,22
28/06/2025,Vil,1,0,Atl,Goiania - GO,Vitoria,3,19
22/06/2025,Ama,2,1,Vil,Manaus - AM,Derrota,0,16
13/06/2025,Vil,0,3,Ame,Goiania - GO,Derrota,0,16
9/6/2025,Cri,1,0,Vil,Criciuma - SC,Derrota,0,16
30/05/2025,Vil,0,1,Gre,Goiania - GO,Derrota,0,16
26/05/2025,Cui,1,0,Vil,Cuiaba - MT,Derrota,0,16
17/05/2025,Vil,2,1,Ath-pr,Goiania - GO,Vitoria,3,16
14/05/2025,Rem,2,0,Vil,Belem - PA,Derrota,0,13
6/5/2025,Ath-mg,0,1,Vil,Belo Horizonte - MG,Vitoria,3,13
25/04/2025,Vil,1,0,Cha,Goiania - GO,Vitoria,3,10
20/04/2025,Vil,2,0,Bot,Goiania - GO,Vitoria,3,7
17/04/2025,Goi,2,2,Vil,Goiania - GO,Empate,1,4
12/4/2025,Vil,1,0,Pay,Goiania - GO,Vitoria,3,3
5/4/2025,Cor,1,0,Vil,Curitiba - PR,Derrota,0,0
