Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Vit,Pontos_Ganhos,Pontos_Acumulados
02/10/2025,Vit,1,0,Cea,Salvador - BA,Vitoria,3,3
28/09/2025,Gre,3,1,Vit,Arena do Gremio,Derrota,0,3
20/09/2025,Vit,0,1,Flu,Manoel Barradas,Derrota,0,0
13/09/2025,For,2,0,Vit,Arena Castelao,Derrota,0,0
31/08/2025,Vit,1,0,Atl,Manoel Barradas,Vitoria,3,3
25/08/2025,Fla,8,0,Vit,Maracana,Derrota,0,3
16/08/2025,Vit,2,2,Juv,Manoel Barradas,Empate,1,4
09/08/2025,Sao,2,0,Vit,Morumbi,Derrota,0,4
03/08/2025,Vit,2,2,Pal,Manoel Barradas,Empate,1,5
26/07/2025,Mir,1,1,Vit,Jose Maria de Campos Maia,Empate,1,6
23/07/2025,Vit,2,2,Spo,Manoel Barradas,Empate,1,7
20/07/2025,Vit,1,0,Red,Manoel Barradas,Empate,3,10
16/07/2025,Bot,0,0,Vit,Nilton Santos,Empate,1,11
12/07/2025,Int,1,0,Vit,Beira,Derrota,0,11
12/06/2025,Vit,0,0,Cru,Manoel Barradas,Empate,1,12
01/06/2025,Cor,0,0,Vit,Neo Quimica Arena,Empate,1,13
25/05/2025,Vit,0,1,San,Manoel Barradas,Derrota,0,13
18/05/2025,Bah,2,1,Vit,Arena Fonte Nova,Derrota,0,13
10/05/2025,Vit,2,1,Vas,Manoel Barradas,Empate,3,16
03/05/2025,Cea,1,0,Vit,Presidente Vargas,Derrota,0,16
27/04/2025,Vit,1,1,Gre,Manoel Barradas,Empate,1,17
20/04/2025,Flu,1,1,Vit,Maracana,Empate,1,18
16/04/2025,Vit,2,1,For,Manoel Barradas,Empate,3,21
13/04/2025,Atl,2,2,Vit,Mineirao,Empate,1,22
06/04/2025,Vit,1,2,Fla,Manoel Barradas,Derrota,0,22
29/03/2025,Juv,2,0,Vit,Alfredo Jaconi,Derrota,0,22
