Jogo,Coluna 1,Coluna 2,Data
1,CORINTHIANS/SP,GREMIO/RS,Domingo
2,SANTOS/SP,FORTALEZA/CE,Sábado
3,CRUZEIRO/MG,VITORIA/BA,Sábado
4,GOIAS/GO,ATHLETICO/PR,Sábado
5,MIRASSOL/SP,BOTAFOGO/RJ,Sábado
6,AVAI/SC,ATHLETIC CLUB/MG,Sábado
7,FLAMENGO/RJ,SPORT/PE,Sábado
8,BAHIA/BA,BRAGANTINO/SP,Domingo
9,CEARA/CE,FLUMINENSE/RJ,Domingo
10,JUVENTUDE/RS,PALMEIRAS/SP,Domingo
11,INTERNACIONAL/RS,ATLETICO/MG,Domingo
12,REMO/PA,CHAPECOENSE/SC,Domingo
13,VASCO DA GAMA/RJ,SAO PAULO/SP,Domingo
14,OPERARIO/PR,VILA NOVA/GO,Domingo
