Jogo,Coluna 1,Coluna 2,Data
1,FLAMENGO/RJ,BRAGANTINO/SP,Sábado
2,PALMEIRAS/SP,FLUMINENSE/RJ,Sábado
3,SAO PAULO/SP,JUVENTUDE/RS,Domingo
4,AMAZONAS/AM,CORITIBA/PR,Domingo
5,ATHLETIC CLUB/MG,PAYSANDU/PA,Domingo
6,ATHLETICO/PR,AMERICA/MG,Domingo
7,BOTAFOGO/SP,AVAI/SC,Domingo
8,CHAPECOENSE/SC,ATLETICO/GO,Domingo
9,CUIABA/MT,CRICIUMA/SC,Domingo
10,NOVORIZONTINO/SP,CRB/AL,Domingo
11,OPERARIO/PR,FERROVIARIA/SP,Domingo
12,REMO/PA,GOIAS/GO,Domingo
13,SPORT/PE,VITORIA/BA,Domingo
14,CRUZEIRO/MG,CORINTHIANS/SP,Domingo
