posicao,clube,pais,valor
1,Real Madrid,Espanha,€ 1.726 M
2,Manchester City,Inglaterra,€ 1.538 M
3,Barcelona FC,Espanha,€ 1.508 M
4,Manchester United,Inglaterra,€ 1.394 M
5,Liverpool FC,Inglaterra,€ 1.363 M
6,Arsenal FC,Inglaterra,€ 1.262 M
7,Chelsea FC,Inglaterra,€ 1.174 M
8,PSG,França,€ 1.137 M
9,Tottenham,Inglaterra,€ 1.108 M
10,Bayern Munich,Alemanha,€ 1.074 M
11,Newcastle United,Inglaterra,€ 945 M
12,Atletico Madrid,Espanha,€ 939 M
13,Juventus FC,Itália,€ 936 M
14,Borussia Dortmund,Alemanha,€ 913 M
15,AC Milan,Itália,€ 893 M
16,West Ham United,Inglaterra,€ 859 M
17,Brighton & Hove Albion,Inglaterra,€ 849 M
18,Aston Villa,Inglaterra,€ 838 M
19,Napoli,Itália,€ 831 M
20,Inter Milan,Itália,€ 818 M
21,Bayer Leverkusen,Alemanha,€ 803 M
22,Crystal Palace,Inglaterra,€ 743 M
23,RB Leipzig,Alemanha,€ 733 M
24,Fulham FC,Inglaterra,€ 712 M
25,Wolverhampton,Inglaterra,€ 706 M
26,AS Roma,Itália,€ 700 M
27,Everton FC,Inglaterra,€ 697 M
28,Brentford FC,Inglaterra,€ 694 M
29,Leicester City,Inglaterra,€ 664 M
30,Valencia CF,Espanha,€ 647 M
31,Sevilla FC,Espanha,€ 639 M
32,Brighton & Hove Albion,Inglaterra,€ 637 M
33,Leeds United,Inglaterra,€ 632 M
34,AFC Bournemouth,Inglaterra,€ 630 M
35,Lazio,Itália,€ 627 M
36,Eintracht Frankfurt,Alemanha,€ 623 M
37,Atalanta BC,Itália,€ 618 M
38,Nottingham Forest,Inglaterra,€ 606 M
39,Sheffield United,Inglaterra,€ 594 M
40,Burnley FC,Inglaterra,€ 584 M
41,Fiorentina,Itália,€ 575 M
42,Real Sociedad,Espanha,€ 569 M
43,Luton Town,Inglaterra,€ 564 M
44,FC Porto,Portugal,€ 558 M
45,Southampton FC,Inglaterra,€ 554 M
46,Olympique Marseille,França,€ 547 M
47,Athletic Bilbao,Espanha,€ 531 M
48,Getafe,Espanha,€ 524 M
49,Real Betis,Espanha,€ 518 M
50,Flamengo,Brasil,€ 85 M
51,Palmeiras,Brasil,€ 65 M
52,São Paulo,Brasil,€ 52 M
